origin_id,gene,set,K,p_value,p_BH,LRT,n_fg,n_tips_kept,n_sites,status
origin_14,AKR1C8,hormone,0.0696199039037379,0.0126323288950128,0.3783,6.219885402610089,2,57,295,ok
origin_14,NCOA3,hormone,0.0,0.013273465259061,0.3783,6.132292461847101,2,67,1128,ok
origin_14,SCARB1,hormone,1.352495921086169,0.0373909674486823,0.5093,4.332514621313749,2,63,397,ok
origin_14,LDLR,hormone,0.5407464241600275,0.0851024404657635,0.693,2.964658221972059,2,54,803,ok
origin_14,LHCGR,hormone,0.1764654308280338,0.1917677834363709,1.0,1.703983973542563,2,71,401,ok
origin_14,AR,hormone,0.4861883025345031,0.2537612100237828,1.0,1.302477309211099,2,73,274,ok
origin_14,NCOR1,hormone,2.569769180859986,0.2598732171722163,1.0,1.269432246359429,2,72,960,ok
origin_14,HSD17B3,hormone,1.031574126752787e-11,0.2645273047322233,1.0,1.244907740359849,2,74,159,ok
origin_14,FSHR,hormone,3.920094608799789,0.2832709360278709,1.0,1.151329861706472,2,75,478,ok
origin_14,ESR2,hormone,0.0,0.3285905702258912,1.0,0.9544444693938204,2,73,156,ok
origin_14,HSD17B7,hormone,0.1094987421910418,0.3593721654561598,1.0,0.8400860368383292,2,58,334,ok
origin_14,FSHB,hormone,0.0001623772084275,0.4298636441325377,1.0,0.6231918437315471,2,76,129,ok
origin_14,CYP11A1,hormone,20.4899439113567,0.4363924727503453,1.0,0.6057501050891005,2,68,432,ok
origin_14,CYP7B1,hormone,0.6283980745365594,0.4568345476174108,1.0,0.5536391317546077,2,68,465,ok
origin_14,NCOA2,hormone,0.5211563094585259,0.4853591043058284,1.0,0.4867980590734078,2,77,878,ok
origin_14,KISS1,hormone,1.151481562486265,0.5874630905928688,1.0,0.2943236066143982,2,50,137,ok
origin_14,GPER1,hormone,0.7308613071952645,0.6307229572620326,1.0,0.2310816519038781,2,73,375,ok
origin_14,AKR1C2,hormone,0.1756195579403436,0.6439070413292438,1.0,0.2136686284284224,2,56,321,ok
origin_14,NCOA1,hormone,0.7927364607370392,0.6800226315176892,1.0,0.1701003583020793,2,77,556,ok
origin_14,GNA11,hormone,3.676711742014966,0.6853583485585473,1.0,0.1641563418088481,2,59,314,ok
origin_14,STS,hormone,2.605260183864593,0.7659113058476338,1.0,0.0886415448458137,2,77,319,ok
origin_14,HSD17B2,hormone,0.492258085081406,0.7884689197155954,1.0,0.0719845320163585,2,75,166,ok
origin_14,AKR1C4,hormone,1.318966993144387,0.8150582936697173,1.0,0.0547118128233705,2,65,323,ok
origin_14,KISS1R,hormone,0.8619207236491035,0.834408172640865,1.0,0.0437024562070291,2,71,398,ok
origin_14,CYP21A2,hormone,0.8256046859195307,0.838550517659403,1.0,0.0415132019625161,2,58,425,ok
origin_14,AKR1C1,hormone,1.363623591001294,0.8533311452059223,1.0,0.0341768493526615,2,51,308,ok
origin_14,HSD17B6,hormone,0.6900325106313641,0.8534300438057119,1.0,0.0341302463057218,2,68,317,ok
origin_14,AKR1C3,hormone,0.1521981540672363,0.8589514542150205,1.0,0.0315805169993836,2,53,316,ok
origin_14,FKBP5,hormone,0.8190120251184773,0.8740691185052587,1.0,0.0251197163051983,2,75,288,ok
origin_14,GNRHR,hormone,0.9189954047817768,0.9053503001442184,1.0,0.0141384951693908,2,74,328,ok
origin_14,HSD17B11,hormone,0.9223944958309902,0.9303668869699128,1.0,0.0076358315109246,2,70,231,ok
origin_14,CYP19A1,hormone,1.048588314049032,0.951509729720578,1.0,0.0036979777341912,2,67,405,ok
origin_14,HSD3B1,hormone,1.0000200003000039e-10,0.9820315297496592,1.0,0.0005072423609817,2,60,373,ok
origin_14,GNRH1,hormone,1.002831819949314,0.9884041213008432,1.0,0.0002112310621669,2,70,96,ok
origin_14,CYP11B2,hormone,2.25,0.9999994619468846,1.0,4.547473508864641e-13,2,68,99,ok
origin_14,CYP11B1,hormone,1.358321574050675,1.0,1.0,-2.307792328792857e-06,2,67,91,ok
origin_14,CYP17A1,hormone,1.358321574050675,1.0,1.0,0.0,2,44,536,ok
origin_14,HSD17B8,hormone,0.903606798,1.0,1.0,-0.0005211852303546,2,42,257,ok
origin_14,SRD5A1,hormone,1.0,1.0,1.0,0.0,2,75,236,ok
origin_14,SULT1E1,hormone,2.25,1.0,1.0,0.0,2,75,294,ok
origin_14,TYRP1,pigmentation,2.827606765486201,0.0412180490231323,0.5093,4.167027677947772,2,76,420,ok
origin_14,KITLG,pigmentation,0.3268237313247829,0.0446718994357169,0.5093,4.030983206412202,2,80,230,ok
origin_14,SLC24A4,pigmentation,2.614826098902849,0.081404393749642,0.693,3.036637140274252,2,77,339,ok
origin_14,BNC2,pigmentation,11.84543788746475,0.4503184808122627,1.0,0.5698501201914041,2,67,898,ok
origin_14,MITF,pigmentation,0.6739145437045241,0.4878525373903124,1.0,0.4812591256613814,2,75,410,ok
origin_14,DCT,pigmentation,1.254860667641371,0.6990152558558572,1.0,0.1494983069533191,2,76,366,ok
origin_14,IRF4,pigmentation,0.8880407033947108,0.8090186282751322,1.0,0.0584151480179571,2,71,451,ok
origin_14,SLC45A2,pigmentation,0.8466505642877005,0.8258614699992203,1.0,0.0484054717016988,2,76,344,ok
origin_14,PAX3,pigmentation,1.059673421092112,0.902082603258876,1.0,0.0151366104109911,2,71,285,ok
origin_14,MLANA,pigmentation,1.358321574050675,0.9999994619468846,1.0,4.547473508864641e-13,2,67,118,ok
origin_14,LEF1,pigmentation,1.358321574050675,1.0,1.0,-0.0037669903490495,2,46,234,ok
origin_14,MC1R,pigmentation,2.25,1.0,1.0,-1.818989403545856e-12,2,70,317,ok
origin_14,OCA2,pigmentation,1.358321574050675,1.0,1.0,-0.0258148454599904,2,62,111,ok
origin_14,PMEL,pigmentation,1.0,1.0,1.0,-0.0003534322768246,2,69,552,ok
origin_14,SLC24A5,pigmentation,0.903606798,1.0,1.0,-0.0001092431266442,2,80,403,ok
origin_14,TFAP2A,pigmentation,0.903606798,1.0,1.0,-5.108700406708522e-05,2,69,445,ok
origin_14,TYR,pigmentation,0.903606798,1.0,1.0,-0.012916848381792,2,79,346,ok
origin_7,SRD5A3,hormone,2.30569048285909,8.004456319987696e-09,0.0,33.27402828390041,3,53,297,ok
origin_7,HSD17B7,hormone,1.956570737187486,3.930183324896142e-06,0.0001,21.29860045194891,7,63,334,ok
origin_7,SRD5A1,hormone,7.292550586266027,2.965797590770425e-05,0.0005,17.43961721686901,6,79,236,ok
origin_7,SHBG,hormone,0.0171080890101792,0.0025218425281782,0.0233,9.124678113296795,5,42,495,ok
origin_7,SCARB1,hormone,1.31734924916772,0.0037685397296615,0.0296,8.392106252074882,7,68,397,ok
origin_7,LDLR,hormone,1.180539349971088,0.0077450646434975,0.0478,7.091494203734328,7,59,803,ok
origin_7,CYP21A2,hormone,1.564600207129549,0.0244712649128205,0.1293,5.060918529061382,4,60,425,ok
origin_7,LHB,hormone,4.577270230722484e-12,0.0291092086450527,0.1436,4.761143163124871,5,58,164,ok
origin_7,CGA,hormone,1.319190093854134,0.0515648560873248,0.2385,3.789830950478972,7,50,161,ok
origin_7,ESR1,hormone,0.4411681437774504,0.0615117876067474,0.2678,3.496146892106481,7,79,183,ok
origin_7,CYP7B1,hormone,1.276883258717242,0.0768527339750699,0.316,3.130233460015006,6,72,465,ok
origin_7,KISS1,hormone,0.1758106003386559,0.1308472615822814,0.5096,2.28242361141838,7,55,137,ok
origin_7,AR,hormone,0.6120613542395499,0.1647019888991804,0.6071,1.930516129188618,7,78,274,ok
origin_7,CYP11A1,hormone,4.756725560491343,0.1722712513888643,0.6071,1.863066914209412,6,72,432,ok
origin_7,HSD17B3,hormone,1.316368964088637,0.1982851046883718,0.638,1.65496063556111,7,79,159,ok
origin_7,HSD17B8,hormone,50.0,0.2670283132265515,0.76,1.231949130825342,5,45,257,ok
origin_7,GPER1,hormone,23.59062182310383,0.2993486411821292,0.8204,1.077093632895412,7,78,375,ok
origin_7,SRD5A2,hormone,0.0,0.3365057405208307,0.8893,0.9236984874191876,6,53,161,ok
origin_7,LHCGR,hormone,1.600617673073571,0.3616357985982349,0.9137,0.8322046731846058,7,76,401,ok
origin_7,AKR1C8,hormone,1.129390240258323,0.4315340611357893,0.9547,0.6186911980385048,5,60,295,ok
origin_7,FSHB,hormone,2.2669101626513487e-10,0.4320928861764951,0.9547,0.6171914319220377,7,81,129,ok
